DuckDuckGo Stopwatch,https://duckduckgo.com/?q=stopwatch,Open Source,Interactive stopwatch embedded in DDG results,web,assets/projects/IPEwhTu.png,https://github.com/mattr555/zeroclickinfo-spice/blob/master/share/spice/stopwatch/stopwatch.js
DuckDuckGo Timer,https://duckduckgo.com/?q=timer,Open Source,Interactive countdown timer embedded in DDG results,web,assets/projects/EnQWyXs.png,https://github.com/duckduckgo/zeroclickinfo-spice/blob/master/share/spice/timer/timer.js
DuckDuckGo NJT Finder,https://duckduckgo.com/?q=next+train+from+metropark+to+ny+penn,Open Source,NJ Transit train status embedded in DDG results,"web,python",assets/projects/iRtZGVG.png,https://github.com/duckduckgo/zeroclickinfo-spice/blob/master/share/spice/transit/njt/transit_njt.js
vim-instacode,https://github.com/mattr555/vim-instacode,Open Source,Instacode submission from vim,vim,assets/projects/9qQjzQD.png,https://github.com/mattr555/vim-instacode
AtYourService,,Open Source,Platform for NHS Chapters to track service hours of members,"python,django,web",assets/projects/MdQuCE2.png,https://github.com/mattr555/AtYourService-school
VEX 2016,https://www.youtube.com/watch?v=o3zccUj_Lss,Closed Source,Robot code for competition in TSA VEX: National Champions,robotc,assets/projects/vex16.png,
VEX 2015,,Closed Source,Robot code for competiton in TSA VEX: 4th in State,robotc,assets/projects/ULHPvJh.jpg,
MATE 2015,,Closed Source,Robot code for competition in MATE ROV Challenge: 2nd in Pennsylvania Region,"arduino,python",assets/projects/c9uGw6P.png,
VEX 2014,,Closed Source,Robot code for competiton in TSA VEX: 1st in State,robotc,assets/projects/78WJIbO.png,
MATE 2014,,Closed Source,Robot code for competiton in MATE ROV Challenge,"arduino,python",assets/projects/jZ8MkZI.png,
This Website,http://mattr555.github.io,Open Source,This digital portfolio (creds to Carly Abraham for design),"web,python",assets/projects/ogRwmZk.png,https://github.com/mattr555/mattr555.github.io
